RCV,0,105,70
RCV,0,140,49
RCV,0,32,36
RCV,0,30,36
RCV,0,105,70
RCV,0,30,36
RCV,0,105,70
RCV,0,74,28
RCV,0,36,29
RCV,0,30,36
RCV,0,105,70
RCV,1,140,49
RCV,1,32,36
RCV,1,30,36
RCV,1,105,70
RCV,1,42,10
RCV,1,30,36
RCV,1,105,70
RCV,1,30,36
RCV,1,105,70
RCV,1,140,49
RCV,1,32,36
RCV,1,30,36
RCV,1,105,70
RCV,1,0,17
RCV,11,74,28
RCV,11,36,29
RCV,11,30,36
RCV,11,105,70
RCV,11,30,36
RCV,11,105,70
RCV,11,87,59
RCV,11,30,36
RCV,11,140,49
RCV,11,32,36
RCV,12,105,70
RCV,12,30,36
RCV,12,105,70
RCV,12,30,36
RCV,12,105,70
RCV,12,74,28
RCV,12,36,29
RCV,12,30,36
RCV,12,105,70
RCV,12,140,49
RCV,12,32,36
RCV,12,30,36
RCV,12,105,70
RCV,12,42,10
RCV,12,30,36
RCV,12,105,70
RCV,12,30,36
RCV,12,105,70
RCV,12,140,49
RCV,12,32,36
RCV,12,74,28
RCV,12,36,29
RCV,12,30,36
RCV,12,105,70
RCV,12,30,36
RCV,12,105,70
RCV,12,87,59
RCV,12,30,36
RCV,12,105,70
RCV,12,140,49
RCV,12,32,36
RCV,12,30,36
RCV,12,105,70
RCV,12,30,36
RCV,12,105,70
RCV,12,74,28
RCV,12,36,29
RCV,13,30,36
RCV,13,105,70
RCV,13,140,49
RCV,13,32,36
RCV,13,30,36
RCV,13,105,70
RCV,13,42,10
RCV,13,30,36
RCV,13,105,70
RCV,13,30,36
RCV,13,105,70
RCV,13,74,28
RCV,13,140,49
RCV,13,36,29
RCV,13,32,36
RCV,13,30,36
RCV,13,105,70
RCV,13,30,36
RCV,13,105,70
RCV,13,87,59
RCV,13,30,36
RCV,13,105,70
RCV,13,140,49
RCV,13,32,36
RCV,13,30,36
RCV,13,105,70
RCV,13,30,36
RCV,13,105,70
RCV,13,74,28
RCV,13,36,29
RCV,13,30,36
RCV,13,105,70
RCV,13,140,49
RCV,13,32,36
RCV,13,30,36
RCV,13,105,70
RCV,13,42,10
RCV,14,30,36
RCV,14,105,70
RCV,14,30,36
RCV,14,42,10
RCV,14,36,29
RCV,14,0,17
RCV,24,42,10
RCV,24,74,28
RCV,24,30,36
RCV,24,140,49
